pert_in,k_pred,psts_explained,expl_known_psts
AZD5363,FAM20C,23,0.045
AZD5363,SRPK2,48,0.093
AZD5363,CDK3,25,0.049
AZD5363,GRK5,19,0.037
AZD5363,ATR,17,0.033
AZD5363,MARK4,55,0.107
AZD5363,AKT1,43,0.084
AZD5363,PAK3,33,0.064
AZD5363,CLK1,46,0.089
AZD5363,PLK2,24,0.047
AZD5363,CDK10,47,0.091
AZD5363,CLK3,47,0.091
AZD5363,MTOR,26,0.051
AZD5363,CAMK2B,15,0.029
AZD5363,PAK6,29,0.056
AZD5363,GRK4,23,0.045
AZD5363,ATM,11,0.021
AZD5363,SGK3,32,0.062
AZD5363,BMPR2,6,0.012
AZD5363,GRK1,23,0.045
AZD5363,TGFBR1,22,0.043
AZD5363,PRKD2,47,0.091
AZD5363,TBK1,16,0.031
AZD5363,TTBK1,13,0.025
AZD5363,CLK4,42,0.082
AZD5363,CAMK1G,29,0.056
AZD5363,MAPKAPK3,37,0.072
AZD5363,PKN2,29,0.056
AZD5363,CAMK2A,22,0.043
AZD5438,NUAK2,34,0.049
AZD5438,PAK1,78,0.112
AZD5438,PIM1,28,0.040
AZD5438,DSTYK,10,0.014
AZD5438,HASPIN,14,0.020
AZD5438,IRAK1,42,0.060
AZD5438,PAK4,113,0.162
AZD5438,GRK6,25,0.036
AZD5438,MASTL,11,0.016
AZD5438,CAMKK2,5,0.007
AZD5438,GRK3,21,0.030
AZD5438,NUAK1,32,0.046
AZD5438,RAF1,72,0.103
AZD5438,CDK18,115,0.165
AZD5438,PAK5,114,0.164
AZD5438,DAPK1,79,0.114
AZD5438,PHKG1,108,0.155
AZD5438,HIPK2,30,0.043
AZD5438,MOS,25,0.036
AZD5438,VRK2,13,0.019
AZD5438,MYLK4,76,0.109
AZD5438,MYO3A,3,0.004
AZD5438,CDK7,59,0.085
AZD5438,RIPK2,16,0.023
AZD5438,SNRK,66,0.095
AZD5438,CAMK1D,80,0.115
AZD5438,ACVR2B,19,0.027
AZD5438,WNK4,64,0.092
AZD5438,CAMK2D,22,0.032
AZD5438,BMPR1B,18,0.026
AZD5438,CDK2,67,0.096
AZD5438,MAPKAPK2,23,0.033
AZD5438,PRKD3,87,0.125
AZD5438,BMPR1A,19,0.027
AZD5438,GAK,5,0.007
AZD5438,LRRK2,16,0.023
AZD5438,ROCK2,82,0.118
AZD5438,PKN3,107,0.154
AZD5438,CDK4,78,0.112
AZD5438,DAPK3,80,0.115
AZD5438,PIM2,84,0.121
AZD5438,PKN1,87,0.125
AZD5438,PLK3,15,0.022
AZD5438,CDK16,123,0.177
AZD5438,PINK1,32,0.046
AZD5438,CAMK2G,31,0.045
AZD5438,LATS2,25,0.036
AZD5438,GRK7,24,0.034
AZD5438,PLK4,12,0.017
AZD5438,CDC7,12,0.017
AZD5438,CDK17,118,0.170
AZD5438,SGK1,93,0.134
AZD5438,GRK2,17,0.024
AZD5438,CDK19,84,0.121
AZD5438,TLK2,10,0.014
AZD5438,CDK8,64,0.092
AZD5438,TLK1,6,0.009
AZD5438,PAK2,72,0.103
AZD5438,LATS1,33,0.047
AZD5438,AAK1,7,0.010
AZD5438,PIM3,22,0.032
AZD5438,CDK6,82,0.118
AZD5438,TSSK2,21,0.030
AZD5438,BRSK2,76,0.109
AZD5438,CAMK4,74,0.106
AZD5438,MARK1,26,0.037
AZD5438,AKT3,89,0.128
AZD5438,CDK5,76,0.109
AZD5438,AKT2,91,0.131
AZD5438,PRKX,94,0.135
AZD5438,DAPK2,82,0.118
AZD5438,EEF2K,4,0.006
AZD5438,ACVR2A,18,0.026
AZD5438,MOK,75,0.108
AZD5438,HUNK,12,0.017
AZD5438,FAM20C,18,0.026
AZD5438,SRPK2,104,0.149
AZD5438,MELK,78,0.112
AZD5438,CDK3,109,0.157
AZD5438,GRK5,21,0.030
AZD5438,PDK1,20,0.029
AZD5438,PHKG2,81,0.116
AZD5438,CDK14,114,0.164
AZD5438,BCKDK,15,0.022
AZD5438,NEK3,39,0.056
AZD5438,MARK4,22,0.032
AZD5438,AKT1,86,0.124
AZD5438,PAK3,76,0.109
AZD5438,PLK2,17,0.024
AZD5438,NLK,86,0.124
AZD5438,MAPKAPK5,90,0.129
AZD5438,CDK10,73,0.105
AZD5438,BRSK1,80,0.115
AZD5438,MTOR,23,0.033
AZD5438,CAMK2B,23,0.033
AZD5438,CDK9,73,0.105
AZD5438,GRK4,21,0.030
AZD5438,PAK6,113,0.162
AZD5438,RIPK1,20,0.029
AZD5438,ATM,14,0.020
AZD5438,SGK3,83,0.119
AZD5438,GRK1,24,0.034
AZD5438,TGFBR1,22,0.032
AZD5438,VRK1,1,0.001
AZD5438,PRKD2,83,0.119
AZD5438,TBK1,11,0.016
AZD5438,CAMK1G,78,0.112
AZD5438,MAPKAPK3,86,0.124
AZD5438,PKN2,103,0.148
AZD5438,CDK1,91,0.131
AZD5438,CAMK2A,16,0.023
AZD6482,PIM1,72,0.150
AZD6482,DSTYK,9,0.019
AZD6482,PAK4,47,0.098
AZD6482,GRK6,42,0.087
AZD6482,MASTL,14,0.029
AZD6482,GRK3,23,0.048
AZD6482,RAF1,11,0.023
AZD6482,PAK5,49,0.102
AZD6482,DAPK1,56,0.117
AZD6482,HIPK1,85,0.177
AZD6482,HIPK2,82,0.171
AZD6482,PLK1,5,0.010
AZD6482,MOS,21,0.044
AZD6482,MYLK4,54,0.113
AZD6482,SRPK3,53,0.110
AZD6482,SNRK,49,0.102
AZD6482,CAMK1D,49,0.102
AZD6482,ACVR2B,23,0.048
AZD6482,CAMK2D,18,0.037
AZD6482,BMPR1B,124,0.258
AZD6482,CAMKK1,3,0.006
AZD6482,PRKD1,18,0.037
AZD6482,ROCK1,49,0.102
AZD6482,CDK2,30,0.062
AZD6482,MAPKAPK2,26,0.054
AZD6482,PRKD3,41,0.085
AZD6482,BMPR1A,123,0.256
AZD6482,GAK,5,0.010
AZD6482,IRAK4,14,0.029
AZD6482,PRPK,15,0.031
AZD6482,ROCK2,50,0.104
AZD6482,PKN3,22,0.046
AZD6482,PIM2,106,0.221
AZD6482,DAPK3,54,0.113
AZD6482,PKN1,50,0.104
AZD6482,PLK3,26,0.054
AZD6482,ULK1,4,0.008
AZD6482,CLK2,60,0.125
AZD6482,CDK16,66,0.138
AZD6482,PINK1,23,0.048
AZD6482,CAMK2G,41,0.085
AZD6482,LATS2,22,0.046
AZD6482,GRK7,29,0.060
AZD6482,PLK4,6,0.013
AZD6482,CDC7,17,0.035
AZD6482,SGK1,55,0.115
AZD6482,GRK2,19,0.040
AZD6482,PASK,21,0.044
AZD6482,TLK2,5,0.010
AZD6482,RIPK3,40,0.083
AZD6482,TLK1,9,0.019
AZD6482,PAK2,55,0.115
AZD6482,LATS1,29,0.060
AZD6482,PIM3,26,0.054
AZD6482,CDK6,68,0.142
AZD6482,TSSK2,49,0.102
AZD6482,BRSK2,50,0.104
AZD6482,CAMK4,54,0.113
AZD6482,AKT3,52,0.108
AZD6482,CDK5,70,0.146
AZD6482,GSK3B,46,0.096
AZD6482,TTBK2,65,0.135
AZD6482,AKT2,54,0.113
AZD6482,GSK3A,17,0.035
AZD6482,PRKX,78,0.163
AZD6482,DAPK2,59,0.123
AZD6482,ACVR2A,20,0.042
AZD6482,HUNK,11,0.023
AZD6482,FAM20C,41,0.085
AZD6482,SRPK2,101,0.210
AZD6482,MELK,51,0.106
AZD6482,CDK3,77,0.160
AZD6482,GRK5,28,0.058
AZD6482,ULK2,5,0.010
AZD6482,BCKDK,9,0.019
AZD6482,PAK3,55,0.115
AZD6482,AKT1,55,0.115
AZD6482,CLK1,88,0.183
AZD6482,PLK2,30,0.062
AZD6482,MAPKAPK5,43,0.090
AZD6482,BRSK1,76,0.158
AZD6482,MTOR,18,0.037
AZD6482,PAK6,68,0.142
AZD6482,GRK4,25,0.052
AZD6482,RIPK1,45,0.094
AZD6482,ATM,13,0.027
AZD6482,SGK3,54,0.113
AZD6482,BMPR2,5,0.010
AZD6482,GRK1,31,0.065
AZD6482,TGFBR1,124,0.258
AZD6482,CLK4,115,0.240
AZD6482,CAMK1G,74,0.154
AZD6482,MAPKAPK3,41,0.085
AZD6482,PKN2,50,0.104
AZD6482,CDK1,76,0.158
AZD6482,CAMK2A,25,0.052
AZD8055,NUAK2,71,0.082
AZD8055,SLK,63,0.073
AZD8055,PAK1,46,0.053
AZD8055,PIM1,52,0.060
AZD8055,HASPIN,81,0.094
AZD8055,NUAK1,69,0.080
AZD8055,CDK18,39,0.045
AZD8055,PAK5,110,0.127
AZD8055,DAPK1,79,0.091
AZD8055,PHKG1,90,0.104
AZD8055,HIPK1,160,0.185
AZD8055,HIPK2,159,0.184
AZD8055,MOS,23,0.027
AZD8055,MYLK4,77,0.089
AZD8055,SRPK3,72,0.083
AZD8055,SNRK,36,0.042
AZD8055,CAMK1D,183,0.212
AZD8055,WNK4,42,0.049
AZD8055,PBK,56,0.065
AZD8055,BUB1,58,0.067
AZD8055,NEK8,48,0.055
AZD8055,PRKD1,57,0.066
AZD8055,ROCK1,206,0.238
AZD8055,SRPK1,201,0.232
AZD8055,NEK11,51,0.059
AZD8055,SMG1,16,0.018
AZD8055,CDK2,64,0.074
AZD8055,MAPKAPK2,42,0.049
AZD8055,PRKD3,85,0.098
AZD8055,IRAK4,39,0.045
AZD8055,LRRK2,21,0.024
AZD8055,ROCK2,196,0.227
AZD8055,PKN3,42,0.049
AZD8055,CDK4,92,0.106
AZD8055,DAPK3,79,0.091
AZD8055,PIM2,71,0.082
AZD8055,PKN1,61,0.071
AZD8055,CLK2,162,0.187
AZD8055,CDK16,47,0.054
AZD8055,NEK6,11,0.013
AZD8055,LATS2,31,0.036
AZD8055,PLK4,11,0.013
AZD8055,CDK17,44,0.051
AZD8055,SGK1,212,0.245
AZD8055,PASK,72,0.083
AZD8055,NEK5,7,0.008
AZD8055,CDK8,50,0.058
AZD8055,LATS1,34,0.039
AZD8055,PIM3,47,0.054
AZD8055,CDK6,80,0.092
AZD8055,TSSK2,142,0.164
AZD8055,HIPK3,206,0.238
AZD8055,CAMK4,195,0.225
AZD8055,MARK1,216,0.250
AZD8055,AKT3,186,0.215
AZD8055,CDK5,53,0.061
AZD8055,STK33,20,0.023
AZD8055,NEK2,14,0.016
AZD8055,TTBK2,15,0.017
AZD8055,MYO3B,39,0.045
AZD8055,DYRK3,163,0.188
AZD8055,AKT2,236,0.273
AZD8055,CDK13,47,0.054
AZD8055,CDKL1,57,0.066
AZD8055,MARK2,32,0.037
AZD8055,PRKX,178,0.206
AZD8055,DAPK2,88,0.102
AZD8055,MOK,74,0.086
AZD8055,SRPK2,200,0.231
AZD8055,DYRK1A,159,0.184
AZD8055,CDK3,56,0.065
AZD8055,MELK,185,0.214
AZD8055,ATR,152,0.176
AZD8055,PDK1,61,0.071
AZD8055,PHKG2,56,0.065
AZD8055,CDK14,64,0.074
AZD8055,NEK3,45,0.052
AZD8055,CDKL5,80,0.092
AZD8055,MARK4,30,0.035
AZD8055,AKT1,216,0.250
AZD8055,PAK3,48,0.055
AZD8055,NLK,51,0.059
AZD8055,MAPKAPK5,44,0.051
AZD8055,CDK10,116,0.134
AZD8055,CLK3,73,0.084
AZD8055,MTOR,35,0.040
AZD8055,DYRK1B,166,0.192
AZD8055,PAK6,58,0.067
AZD8055,GRK4,36,0.042
AZD8055,SGK3,148,0.171
AZD8055,DYRK2,155,0.179
AZD8055,VRK1,40,0.046
AZD8055,PRKD2,83,0.096
AZD8055,TBK1,17,0.020
AZD8055,MAK,48,0.055
AZD8055,HIPK4,152,0.176
AZD8055,CLK4,200,0.231
AZD8055,CAMK1G,201,0.232
AZD8055,MAPKAPK3,46,0.053
AZD8055,PKN2,172,0.199
AZD8055,CAMK2A,31,0.036
Amuvatinib,PRKD1,17,0.059
Amuvatinib,TLK2,8,0.028
Amuvatinib,LATS1,22,0.076
Amuvatinib,BMPR1A,30,0.103
Amuvatinib,GRK6,42,0.145
Amuvatinib,PRPK,20,0.069
Amuvatinib,LRRK2,11,0.038
Amuvatinib,GRK3,31,0.107
Amuvatinib,GSK3B,51,0.176
Amuvatinib,PLK2,36,0.124
Amuvatinib,PLK3,34,0.117
Amuvatinib,GSK3A,28,0.097
Amuvatinib,GRK4,35,0.121
Amuvatinib,ATM,23,0.079
Amuvatinib,CAMK2G,52,0.179
Amuvatinib,GRK1,36,0.124
Amuvatinib,MOS,26,0.090
Amuvatinib,TGFBR1,30,0.103
Amuvatinib,ACVR2A,32,0.110
Amuvatinib,GRK7,40,0.138
Amuvatinib,CDC7,19,0.066
Amuvatinib,ACVR2B,38,0.131
Amuvatinib,FAM20C,43,0.148
Amuvatinib,CAMK2D,26,0.090
Amuvatinib,TTBK1,9,0.031
Amuvatinib,BMPR1B,32,0.110
Amuvatinib,GRK2,28,0.097
Amuvatinib,GRK5,36,0.124
Amuvatinib,PASK,28,0.097
BX912,NUAK2,58,0.071
BX912,DSTYK,22,0.027
BX912,HASPIN,137,0.168
BX912,IRAK1,52,0.064
BX912,GRK6,56,0.069
BX912,MASTL,157,0.192
BX912,GRK3,35,0.043
BX912,NUAK1,60,0.073
BX912,RAF1,31,0.038
BX912,NEK4,15,0.018
BX912,PAK5,185,0.226
BX912,DAPK1,145,0.177
BX912,PHKG1,157,0.192
BX912,HIPK1,148,0.181
BX912,PLK1,15,0.018
BX912,MOS,38,0.047
BX912,MYLK4,139,0.170
BX912,MYO3A,140,0.171
BX912,SRPK3,23,0.028
BX912,CDK7,34,0.042
BX912,CDK12,24,0.029
BX912,RIPK2,32,0.039
BX912,SNRK,62,0.076
BX912,CAMK1D,144,0.176
BX912,ACVR2B,32,0.039
BX912,WNK4,139,0.170
BX912,BMPR1B,170,0.208
BX912,BUB1,139,0.170
BX912,TTK,5,0.006
BX912,ROCK1,140,0.171
BX912,NEK11,141,0.173
BX912,SMG1,138,0.169
BX912,CDK2,32,0.039
BX912,PRKD3,143,0.175
BX912,BMPR1A,171,0.209
BX912,GAK,4,0.005
BX912,IRAK4,141,0.173
BX912,PRPK,16,0.020
BX912,ROCK2,142,0.174
BX912,PKN3,141,0.173
BX912,CDK4,159,0.195
BX912,DAPK3,146,0.179
BX912,PIM2,53,0.065
BX912,PKN1,147,0.180
BX912,PLK3,39,0.048
BX912,CDK16,40,0.049
BX912,NEK6,16,0.020
BX912,CAMK2G,73,0.089
BX912,GRK7,38,0.047
BX912,PLK4,10,0.012
BX912,CDC7,19,0.023
BX912,CDK17,46,0.056
BX912,SGK1,143,0.175
BX912,GRK2,30,0.037
BX912,MARK3,58,0.071
BX912,TLK2,12,0.015
BX912,RIPK3,22,0.027
BX912,TLK1,7,0.009
BX912,CDK6,162,0.198
BX912,TSSK2,50,0.061
BX912,HIPK3,144,0.176
BX912,CAMK4,52,0.064
BX912,MARK1,151,0.185
BX912,AKT3,144,0.176
BX912,STK33,144,0.176
BX912,NEK2,142,0.174
BX912,TTBK2,14,0.017
BX912,DYRK3,177,0.217
BX912,AKT2,146,0.179
BX912,GSK3A,35,0.043
BX912,CDKL1,26,0.032
BX912,MARK2,58,0.071
BX912,PRKX,145,0.177
BX912,DAPK2,145,0.177
BX912,ACVR2A,30,0.037
BX912,MOK,25,0.031
BX912,HUNK,23,0.028
BX912,FAM20C,53,0.065
BX912,SRPK2,140,0.171
BX912,DYRK1A,184,0.225
BX912,MELK,146,0.179
BX912,GRK5,183,0.224
BX912,ATR,15,0.018
BX912,PDK1,147,0.180
BX912,PHKG2,150,0.184
BX912,WNK3,140,0.171
BX912,CDK14,108,0.132
BX912,CDKL5,153,0.187
BX912,MARK4,54,0.066
BX912,AKT1,145,0.177
BX912,PAK3,133,0.163
BX912,PLK2,43,0.053
BX912,NLK,44,0.054
BX912,MAPKAPK5,144,0.176
BX912,CDK10,25,0.031
BX912,BRSK1,161,0.197
BX912,CAMK2B,38,0.047
BX912,CDK9,29,0.035
BX912,GRK4,42,0.051
BX912,PAK6,176,0.215
BX912,RIPK1,142,0.174
BX912,ATM,16,0.020
BX912,SGK3,141,0.173
BX912,BMPR2,13,0.016
BX912,GRK1,187,0.229
BX912,TGFBR1,172,0.211
BX912,PRKD2,137,0.168
BX912,TBK1,10,0.012
BX912,MAK,27,0.033
BX912,HIPK4,160,0.196
BX912,TTBK1,49,0.060
BX912,CLK4,135,0.165
BX912,CAMK1G,144,0.176
BX912,MAPKAPK3,141,0.173
BX912,PKN2,140,0.171
BX912,CAMK2A,29,0.035
CAL101,PRKD1,20,0.065
CAL101,TLK2,4,0.013
CAL101,TLK1,3,0.010
CAL101,PAK2,20,0.065
CAL101,LATS1,22,0.072
CAL101,PIM3,11,0.036
CAL101,MAPKAPK2,24,0.078
